2563,8966
4949,7932
9140,2478
8222,934
7383,4975
7630,5755
895,401
4617,2762
5707,3043
3951,8675
2832,2747
6649,5871
4411,6950
2857,207
4107,8621
1352,4960
513,1490
2017,3610
3721,6151
7310,4918
3243,3527
1000,99
1208,7504
2099,7872
3893,717
3834,3774
4770,8722
1919,2240
4364,2878
432,4649
3733,2645
7695,457
6819,1998
3923,6636
1545,8819
6566,5856
3242,816
9,9943
5943,3657
3929,3548
2056,7453
3219,1066
4779,3599
2792,190
5996,5724
440,8336
5568,6211
6095,3802
5226,816
2683,7772
2718,6465
177,4586
6655,3994
5269,7073
382,5977
8034,4707
2142,4694
9269,1656
4344,5451
1349,1747
6619,2609
2369,8404
6015,4498
4033,8394
9404,540
1842,8139
5689,1610
7811,2376
2004,895
1484,1743
2099,772
3954,6646
1471,2572
1686,6698
4479,5252
1070,5131
6707,3585
2803,9173
6170,1292
7092,820
2512,1037
9446,921
9217,1719
5453,2208
2608,4452
3355,3005
2248,626
1947,6910
8988,2409
349,4523
6413,892
2576,4575
1922,5513
328,6462
4524,6137
3725,1263
5694,7385
929,7595
9178,2120
2483,3117
2151,8466
4550,1302
5967,2435
6286,6962
5811,8089
7675,768
5263,2707
3305,509
881,6848
4787,2480
1626,3793
6377,147
9209,2066
2262,9178
1948,4247
8612,1360
3135,3527
855,9936
9415,502
3949,2347
2533,4533
2968,7587
4654,2678
8077,1009
4462,4604
6307,749
8581,2141
2310,1901
4232,2963
637,8335
4965,2945
5382,425
1088,1422
6340,1329
2619,3953
896,6538
6448,6265
149,335
13,8394
5345,7907
907,3206
5837,6527
3611,4728
5353,442
1810,9158
4617,4584
1673,8667
3802,1313
5420,5564
5891,6473
1209,8627
6958,5270
2239,6006
2744,8564
1884,6126
53,2881
6159,6265
5158,3861
782,1519
1558,1477
1160,1349
9889,959
722,1329
1975,7240
6907,1149
3170,1099
3110,2738
3001,6257
6653,6887
1499,3236
1802,6149
5154,7764
1725,1279
186,7076
7916,2704
3468,6207
103,5347
844,5889
2515,2316
4111,3028
3254,3961
5791,908
9380,1507
1109,5255
817,2014
2603,3225
3084,3358
6625,2728
5426,4611
532,53
733,8360
5920,706
2269,9659
2684,972
6414,6869
3749,1162
2604,7037
7711,5318
4574,7689
434,270
4129,9084
6071,3825
5740,5228
2783,5689
1335,3838
7587,1742
2309,3471
2369,8661
8039,2014
3356,6300
4632,2514
3264,4114
9207,3800
3504,4726
194,1633
8804,502
775,7518
5392,2161
485,4646
3629,1974
2263,2497
5161,3807
5052,8517
108,2388
2594,4619
3499,7559
3018,2524
3953,7118
4226,5722
5629,6866
4527,149
8159,891
5179,1491
356,7517
5049,2721
5538,6952
3353,26
3570,6757
6782,3663
2785,808
5375,2138
7904,5036
8302,4650
3568,2038
5624,6901
984,4589
3735,2741
4666,477
4352,4105
1859,6862
4967,8634
3145,2311
1531,6213
516,8927
638,7480
348,5907
2848,879
2905,8331
5637,1243
6127,3621
2394,8434
9149,1997
6455,3007
1157,7610
8990,401
6189,4394
7402,3551
2744,9574
8747,1650
8390,391
4678,7466
2172,9283
2241,7221
4069,6429
4894,4113
6423,3910
6208,5637
2809,486
5585,1199
7006,4574
7487,4501
8862,3503
3715,6674
6223,4523
5948,669
2393,8610
1976,4853
936,2739
4568,635
6465,734
9789,1661
1419,6275
100,6418
3978,3223
3715,1469
5456,2177
7614,425
359,5695
7625,299
795,5337
4879,2179
1572,5057
5178,3025
8493,1940
4011,5145
2975,9099
6280,1718
8787,1666
3366,677
7878,5003
5003,1820
3252,2461
4194,7267
3378,3297
8135,4730
1976,9241
6130,7287
212,6430
1771,4252
1658,4925
1254,7691
6466,1114
6892,1584
456,5283
4085,226
935,4451
2844,5670
4543,3631
4334,7681
1522,3150
7002,1242
1954,7305
6271,6219
285,4658
5660,1574
7239,2835
585,699
1662,6701
928,1320
3316,9361
5518,5115
6217,2021
8137,3598
4716,8109
6089,2332
7210,3976
5711,7350
1845,7506
520,3407
7000,6395
2622,1447
6181,7018
597,5110
1985,6065
3375,1996
